description,category
Last month rent,Rent
Car maintenance,Transport
X-ray and scan,Health
Baby products,Shopping
MBA tuition,Education
Contract payment,Salary
Vending machine,Food
Renewable bill,Utilities
Commute expense,Transport
Gaming subscription,Entertainment
Catering order,Food
Rental agreement,Rent
Bike share,Transport
Emergency room,Health
Grocery delivery,Shopping
Short course fee,Education
Royalty income,Salary
Food truck,Food
Dual tariff utilities,Utilities
Park and ride,Transport
Live music event,Entertainment
Bulk buy groceries,Food
Lease renewal,Rent
EV charging,Transport
Health club,Health
Supermarket run,Shopping
Skill upgrade course,Education
Freelance project,Salary
Office cafeteria,Food
Smart meter bill,Utilities
Ola ride,Transport
Hobby class,Entertainment
Meal kit delivery,Food
Rent advance,Rent
Parking fine,Transport
Medical equipment,Health
Warehouse sale,Shopping
Executive education,Education
Consulting income,Salary
Dessert and coffee,Food
Prepaid electricity,Utilities
Car pool contribution,Transport
Zoo visit,Entertainment
Fresh produce,Food
Rent reminder,Rent
Bike lane fee,Transport
Dental surgery,Health
Outlet mall,Shopping
Online degree,Education
Project milestone pay,Salary
Hotel breakfast,Food
Winter heating,Utilities
Transit card,Transport
Escape room,Entertainment
Meat and poultry,Food
Rent auto debit,Rent
Vehicle registration,Transport
Health supplement,Health
Flash sale purchase,Shopping
Workshop attendance,Education
Tips received,Salary
Food and drinks,Food
Summer AC bill,Utilities
Commuter pass,Transport
Arcade games,Entertainment
Pantry staples,Food
Rent cheque,Rent
Road tax,Transport
Clinic visit,Health
Brand outlet,Shopping
Conference fee,Education
Incentive pay,Salary
Baker and pastry,Food
Quarterly utilities,Utilities
Chauffeur service,Transport
Concert venue,Entertainment
Organic vegetables,Food
Rent bank transfer,Rent
Fuel surcharge,Transport
Pharmacy run,Health
Clearance sale,Shopping
Seminar fee,Education
Hourly wage,Salary
Lunch special,Food
Meter reading bill,Utilities
Train season ticket,Transport
Stand-up comedy,Entertainment
Spices and oil,Food
Rent cash,Rent
Car insurance,Transport
Vaccination,Health
Thrift shop,Shopping
Bootcamp fee,Education
Advance payment,Salary
Breakfast meeting,Food
Fixed charge utilities,Utilities
Airport taxi,Transport
Theater play,Entertainment
Frozen food,Food
Rent online,Rent
Bike purchase,Transport
Annual checkup,Health
Mall shopping,Shopping
Diploma program,Education
Back pay,Salary
Canteen food,Food
Dual fuel bill,Utilities
Parking permit,Transport
Exhibition entry,Entertainment
Cereal and milk,Food
Rent payment,Rent
Transit fare,Transport
Mental health session,Health
Retail therapy,Shopping
Night class,Education
Overtime salary,Salary
Food parcel,Food
Estimated bill utilities,Utilities
Car share,Transport
Amusement park,Entertainment
Bulk cooking,Food
Monthly rent,Rent
Bike lane,Transport
Nutritionist,Health
Discount store,Shopping
Evening course,Education
Salary credit,Salary
Office lunch,Food
Final bill utilities,Utilities
Bus pass,Transport
Cinema snacks,Entertainment
Protein and supplements,Food
Rent due,Rent
Fuel fill,Transport
Physician visit,Health
Gift shop,Shopping
Course material,Education
Paycheck,Salary
Veggie market,Food
Utility payment,Utilities
Cab fare,Transport
Sports bar,Entertainment
Meal subscription,Food
Rent receipt,Rent
Parking lot,Transport
Hospital visit,Health
Book store,Shopping
Tuition fee,Education
Wage payment,Salary
Coffee shop,Food
Electric payment,Utilities
Ride share,Transport
Concert,Entertainment
Grocery run,Food
Rent,Rent
Gas fill,Transport
Doctor,Health
Shopping,Shopping
School fee,Education
Income,Salary
